run_id,stage_id,status,phase,model_id,gene_setting,gene_dim,split_strategy,eval_mode,sample_cap,macro_preset,seed_spec,epochs,lr,batch_size,test_mse,test_rmse,test_pearson,test_spearman,test_mean_baseline_mse,improvement_vs_mean_baseline,source_metrics_path,notes
legacy_raw_genes_random,1.1,done,short_single_split,raw_genes,raw,23808,random,single_split,full,legacy_manual,42,10,0.001,64,29.051480806680676,5.3899425606105185,,,29.050098877492626,-0.0013819291880494688,outputs/genes_on_random/metrics.json,Archived negative control from the pre-funnel baseline runs.
legacy_filtered_genes_random,1.1,done,short_single_split,filtered_genes,filtered,3171,random,single_split,full,legacy_manual,42,10,0.001,64,29.046720875501265,5.389500985759374,,,29.050098877492626,0.0033780019913614012,outputs/genes_filtered_random/metrics.json,Archived negative control from the pre-funnel baseline runs.
legacy_no_genes_random,1.1,done,short_single_split,no_genes,off,0,random,single_split,full,legacy_manual,42,10,0.001,64,20.25023415772613,4.500026017449914,0.550455310509516,0.5102128077921556,29.050098877492626,8.799864719766497,outputs/genes_off_random/metrics.json,Historical reference before the canonical short-phase matrix was frozen.
legacy_pca128_random,1.3A,done,short_single_split,pca128,pca128,128,random,single_split,full,legacy_manual,42,10,0.001,64,19.04190770111344,4.363703438721912,0.5892189943581719,0.5637632099896489,29.050098877492626,10.008191176379185,outputs/pca128_random/metrics.json,Historical reference before the canonical short-phase matrix was frozen.
short_no_genes_random_practical,1.1,planned,short_single_split,no_genes,off,0,random,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_no_genes_random_practical/metrics.json,Canonical short-phase comparison row.
short_no_genes_drug_practical,1.1,planned,short_single_split,no_genes,off,0,drug,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_no_genes_drug_practical/metrics.json,Canonical short-phase comparison row.
short_no_genes_cell_line_practical,1.1,planned,short_single_split,no_genes,off,0,cell_line,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_no_genes_cell_line_practical/metrics.json,Canonical short-phase comparison row.
short_pca128_random_practical,1.3A,planned,short_single_split,pca128,pca128,128,random,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_pca128_random_practical/metrics.json,Canonical short-phase comparison row.
short_pca128_drug_practical,1.3A,planned,short_single_split,pca128,pca128,128,drug,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_pca128_drug_practical/metrics.json,Canonical short-phase comparison row.
short_pca128_cell_line_practical,1.3A,planned,short_single_split,pca128,pca128,128,cell_line,single_split,full,practical_research,42,50,0.0001,64,,,,,,,outputs/short_pca128_cell_line_practical/metrics.json,Canonical short-phase comparison row.
long_cv10_10k_promoted_winner,promotion_gate,planned,long_cv_10k,,,,random,cv10_stratified,10000,practical_research,cv_seeds=42,50,0.0001,64,,,,,,,,"Placeholder row. Fill after the canonical random short-phase winner is chosen by lowest test_mse, then highest test_pearson, then simpler model."
